Trace-_0_5	627	2.912000	7.539000	0.012024	0	0	0	0
Trace-_0_5	735	3.452000	8.961000	0.012192	0	0	0	0
Trace-_0_5	20104	96.334000	245.973000	0.012235	0	0	0	0
Trace-_0_5	32004	155.971000	393.245000	0.012287	0	0	0	0
Trace-_0_5	33366	168.557000	415.685000	0.012458	0	0	0	0
Trace-_0_5	34807	169.182000	426.183000	0.012244	0	0	0	0
Trace-_0_5	35265	176.411000	441.944000	0.012532	0	0	0	0
Trace-_0_5	36892	182.384000	454.460000	0.012319	0	0	0	0
Trace-_0_5	46225	236.549000	579.250000	0.012531	0	0	0	0
Trace-_0_5	56995	289.797000	711.521000	0.012484	0	0	0	0
Trace-_0_5	58120	255.129000	638.403000	0.010984	0	0	0	0
Trace-_0_5	66707	342.329000	842.917000	0.012636	0	0	0	0
Trace-_0_5	68728	308.104000	758.939000	0.011043	0	0	0	0
Trace-_0_5	71954	350.768000	894.721000	0.012435	0	0	0	0
Trace-_0_5	92306	346.297000	867.756000	0.009401	0	0	0	0
